protocol,n,s,a,p,upr,acc
secure_scan,10000,10,10,0.0001,10000,0.10570000000000002
secure_scan,10000,10,10,0.001,10000,0.099
secure_scan,10000,10,10,0.01,10000,0.0945
secure_scan,10000,10,10,0.1,10000,0.1016
secure_scan,10000,10,100,0.0001,10000,0.0965
secure_scan,10000,10,100,0.001,10000,0.0993
secure_scan,10000,10,100,0.01,10000,0.1002
secure_scan,10000,10,100,0.1,10000,0.0995
secure_scan,10000,10,1000,0.0001,10000,0.0988
secure_scan,10000,10,1000,0.001,10000,0.10070000000000001
secure_scan,10000,10,1000,0.01,10000,0.10970000000000002
secure_scan,10000,10,1000,0.1,10000,0.10390000000000002
secure_scan,10000,10,10000,0.0001,10000,0.1008
secure_scan,10000,10,10000,0.001,10000,0.10470000000000002
secure_scan,10000,10,10000,0.01,10000,0.1078
secure_scan,10000,10,10000,0.1,10000,0.10210000000000001
secure_scan,10000,100,10,0.0001,10000,0.009300000000000001
secure_scan,10000,100,10,0.001,10000,0.010499999999999999
secure_scan,10000,100,10,0.01,10000,0.0088
secure_scan,10000,100,10,0.1,10000,0.008799999999999999
secure_scan,10000,100,100,0.0001,10000,0.0085
secure_scan,10000,100,100,0.001,10000,0.010499999999999999
secure_scan,10000,100,100,0.01,10000,0.009
secure_scan,10000,100,100,0.1,10000,0.009699999999999999
secure_scan,10000,100,1000,0.0001,10000,0.009600000000000001
secure_scan,10000,100,1000,0.001,10000,0.0104
secure_scan,10000,100,1000,0.01,10000,0.0085
secure_scan,10000,100,1000,0.1,10000,0.013000000000000001
secure_scan,10000,100,10000,0.0001,10000,0.0091
secure_scan,10000,100,10000,0.001,10000,0.0096
secure_scan,10000,100,10000,0.01,10000,0.008699999999999998
secure_scan,10000,100,10000,0.1,10000,0.0098
secure_scan,10000,1000,10,0.0001,10000,0.0012000000000000001
secure_scan,10000,1000,10,0.001,10000,0.00030000000000000003
secure_scan,10000,1000,10,0.01,10000,0.0012000000000000001
secure_scan,10000,1000,10,0.1,10000,0.0015
secure_scan,10000,1000,100,0.0001,10000,0.0005
secure_scan,10000,1000,100,0.001,10000,0.0006000000000000001
secure_scan,10000,1000,100,0.01,10000,0.00030000000000000003
secure_scan,10000,1000,100,0.1,10000,0.0015000000000000002
secure_scan,10000,1000,1000,0.0001,10000,0.0012000000000000001
secure_scan,10000,1000,1000,0.001,10000,0.0010000000000000002
secure_scan,10000,1000,1000,0.01,10000,0.0015
secure_scan,10000,1000,1000,0.1,10000,0.0009000000000000001
secure_scan,10000,1000,10000,0.0001,10000,0.0008
secure_scan,10000,1000,10000,0.001,10000,0.0006000000000000001
secure_scan,10000,1000,10000,0.01,10000,0.0016
secure_scan,10000,1000,10000,0.1,10000,0.0007
secure_scan,10000,10000,10,0.0001,10000,0.0
secure_scan,10000,10000,10,0.001,10000,0.0001
secure_scan,10000,10000,10,0.01,10000,0.0
secure_scan,10000,10000,10,0.1,10000,0.0
secure_scan,10000,10000,100,0.0001,10000,0.00030000000000000003
secure_scan,10000,10000,100,0.001,10000,0.0
secure_scan,10000,10000,100,0.01,10000,0.0
secure_scan,10000,10000,100,0.1,10000,0.0002
secure_scan,10000,10000,1000,0.0001,10000,0.0
secure_scan,10000,10000,1000,0.001,10000,0.0002
secure_scan,10000,10000,1000,0.01,10000,0.0
secure_scan,10000,10000,1000,0.1,10000,0.0001
secure_scan,10000,10000,10000,0.0001,10000,0.0001
secure_scan,10000,10000,10000,0.001,10000,0.0
secure_scan,10000,10000,10000,0.01,10000,0.0001
secure_scan,10000,10000,10000,0.1,10000,0.0001
standard,10000,10,10,0.0001,7,0.6953
standard,10000,10,10,0.001,7,0.6949
standard,10000,10,10,0.01,6,0.6128
standard,10000,10,10,0.1,7,0.2538
standard,10000,10,100,0.0001,8,0.8029
standard,10000,10,100,0.001,10,1.0
standard,10000,10,100,0.01,13,0.8861000000000001
standard,10000,10,100,0.1,63,0.1884
standard,10000,10,1000,0.0001,10,1.0
standard,10000,10,1000,0.001,15,0.6324000000000001
standard,10000,10,1000,0.01,96,0.16899999999999998
standard,10000,10,1000,0.1,629,0.11810000000000001
standard,10000,10,10000,0.0001,10,1.0
standard,10000,10,10000,0.001,108,0.1543
standard,10000,10,10000,0.01,976,0.12050000000000001
standard,10000,10,10000,0.1,4778,0.1006
standard,10000,100,10,0.0001,10,0.1061
standard,10000,100,10,0.001,10,0.09319999999999999
standard,10000,100,10,0.01,10,0.0989
standard,10000,100,10,0.1,10,0.0668
standard,10000,100,100,0.0001,64,0.6418
standard,10000,100,100,0.001,60,0.5906
standard,10000,100,100,0.01,73,0.4996999999999999
standard,10000,100,100,0.1,100,0.0241
standard,10000,100,1000,0.0001,96,0.951
standard,10000,100,1000,0.001,135,0.6190000000000001
standard,10000,100,1000,0.01,602,0.0253
standard,10000,100,1000,0.1,1000,0.011899999999999999
standard,10000,100,10000,0.0001,137,0.599
standard,10000,100,10000,0.001,924,0.022899999999999997
standard,10000,100,10000,0.01,4720,0.0092
standard,10000,100,10000,0.1,6208,0.0095
standard,10000,1000,10,0.0001,10,0.010399999999999998
standard,10000,1000,10,0.001,10,0.009499999999999998
standard,10000,1000,10,0.01,10,0.011
standard,10000,1000,10,0.1,10,0.005699999999999999
standard,10000,1000,100,0.0001,100,0.0954
standard,10000,1000,100,0.001,100,0.0996
standard,10000,1000,100,0.01,100,0.06770000000000001
standard,10000,1000,100,0.1,100,0.0022
standard,10000,1000,1000,0.0001,622,0.6086999999999999
standard,10000,1000,1000,0.001,746,0.37589999999999996
standard,10000,1000,1000,0.01,998,0.0035000000000000005
standard,10000,1000,1000,0.1,1000,0.0019
standard,10000,1000,10000,0.0001,1272,0.5266000000000001
standard,10000,1000,10000,0.001,4688,0.0033
standard,10000,1000,10000,0.01,6158,0.0010999999999999998
standard,10000,1000,10000,0.1,6316,0.0008
standard,10000,10000,10,0.0001,10,0.0010999999999999998
standard,10000,10000,10,0.001,10,0.0010999999999999998
standard,10000,10000,10,0.01,10,0.0007
standard,10000,10000,10,0.1,10,0.0012000000000000001
standard,10000,10000,100,0.0001,100,0.0116
standard,10000,10000,100,0.001,100,0.0116
standard,10000,10000,100,0.01,100,0.007000000000000001
standard,10000,10000,100,0.1,100,0.0007
standard,10000,10000,1000,0.0001,999,0.08149999999999999
standard,10000,10000,1000,0.001,1000,0.049
standard,10000,10000,1000,0.01,1000,0.0009000000000000001
standard,10000,10000,1000,0.1,1000,0.0002
standard,10000,10000,10000,0.0001,5134,0.0738
standard,10000,10000,10000,0.001,6117,0.002
standard,10000,10000,10000,0.01,6301,0.0
standard,10000,10000,10000,0.1,6340,0.0001